metric_id,implementation_stage,entity_level,exact_numerator_or_aggregation,exact_denominator,deduplication_key,entity_primary_key,censor_population,included_rows,excluded_rows,open_interval_policy,right_censor_policy,quality_break_policy,denominator_scope,parameter_response,hard_gate_usage,evaluator_id,null_policy,availability_basis
eligible_days,r2_t03_runtime_required,daily_row,count eligible=true rows,own or common exact security_id trade_date keys,"route_id,candidate_cell_id,security_id,trade_date","route_id,candidate_cell_id,security_id,trade_date","all expected trading rows, fail closed on missing expected row",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__eligible_days,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
confirmed_state_days,r2_t03_runtime_required,daily_row,count rows with confirmed_state=true,eligible valid daily rows,"route_id,candidate_cell_id,security_id,trade_date","route_id,candidate_cell_id,security_id,trade_date","all expected trading rows, fail closed on missing expected row",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__confirmed_state_days,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
confirmed_state_coverage,r2_t03_runtime_required,daily_row,confirmed_state_days,eligible_days,"route_id,candidate_cell_id,security_id,trade_date","route_id,candidate_cell_id,security_id,trade_date","all expected trading rows, fail closed on missing expected row",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__confirmed_state_coverage,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_confirmed_interval_count,r2_t03_runtime_required,atomic_interval,count maximal confirmed intervals,route security,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__atomic_confirmed_interval_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_duration_mean,r2_t03_runtime_required,atomic_interval,mean confirmed_day_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__atomic_duration_mean,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_duration_median,r2_t03_runtime_required,atomic_interval,median confirmed_day_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__atomic_duration_median,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_duration_q90,r2_t03_runtime_required,atomic_interval,q90 confirmed_day_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__atomic_duration_q90,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_duration_q95,r2_t03_runtime_required,atomic_interval,q95 confirmed_day_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__atomic_duration_q95,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_singleton_count,r2_t03_runtime_required,atomic_interval,count intervals with confirmed_day_count=1,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__atomic_singleton_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_fragment_rate,r2_t03_runtime_required,atomic_interval,atomic_singleton_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__atomic_fragment_rate,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
natural_exit_count,r2_t03_runtime_required,atomic_interval,count intervals ending natural_state_exit,observed closed atomic intervals,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__natural_exit_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
quality_interruption_count,r2_t03_runtime_required,atomic_interval,count intervals ending quality_interruption,observed closed atomic intervals,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__quality_interruption_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
right_censored_atomic_count,r2_t03_runtime_required,atomic_interval,count intervals ending sample_end_censoring,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,atomic_interval_id","route_id,candidate_cell_id,security_id,atomic_interval_id",closed plus explicitly right-censored atomic intervals,eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,r2_t02_metric_eval__right_censored_atomic_count,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
