case_id,fixture_id,status,oracle_id,assertion_count,expected_reason_code,observed_reason_code,error_code,assertion_ledger_sha256,transition_count,atomic_interval_count,qualified_component_count,event_zone_count
k3_no_backfill,fixture_001_k3_no_backfill,passed,r2_t02_oracle_k3_no_backfill,4,sample_end_open_zone,sample_end_open_zone,,916e99ddfcf0fb631ee5cf79c3dc5dbae0883600b3957de0be006b6d769258ea,10,3,3,3
unknown_resets_k,fixture_002_unknown_resets_k,passed,r2_t02_oracle_unknown_resets_k,4,sample_end_open_zone,gap_exceeds_g,,b74d983f3b463183110fc13e961de23a778b8e998ae0b7242524c8c12bd493cf,10,3,1,1
blocked_resets_k,fixture_003_blocked_resets_k,passed,r2_t02_oracle_blocked_resets_k,4,sample_end_open_zone,prequalification_right_censored,,21070becf3a94f8362640191d971b46482b5b1e553c78b292a242ac89666b3ee,9,3,0,0
diagnostic_required_resets_k,fixture_004_diagnostic_required_resets_k,passed,r2_t02_oracle_diagnostic_required_resets_k,4,sample_end_open_zone,sample_end_open_zone,,44d5156cbdf6cea5c2b9bd0f6e45d87825ef7ec4df327b1069ed4ca9b1f6ef4d,10,3,3,3
missing_row_fail_closed,fixture_005_missing_row_fail_closed,passed,r2_t02_oracle_missing_row_fail_closed,4,missing_expected_trading_row,missing_expected_trading_row,missing_expected_trading_row,51f587c0f7e90368fb4dde0fbcefe42e8fb8d2f732dff402c872ac998371b288,1,0,0,0
d1_exact_qualification,fixture_006_d1_exact_qualification,passed,r2_t02_oracle_d1_exact_qualification,4,sample_end_open_zone,prequalification_right_censored,,21070becf3a94f8362640191d971b46482b5b1e553c78b292a242ac89666b3ee,9,3,0,0
d2_exact_qualification,fixture_007_d2_exact_qualification,passed,r2_t02_oracle_d2_exact_qualification,4,sample_end_open_zone,sample_end_open_zone,,44d5156cbdf6cea5c2b9bd0f6e45d87825ef7ec4df327b1069ed4ca9b1f6ef4d,10,3,3,3
d3_exact_qualification,fixture_008_d3_exact_qualification,passed,r2_t02_oracle_d3_exact_qualification,4,sample_end_open_zone,gap_exceeds_g,,b74d983f3b463183110fc13e961de23a778b8e998ae0b7242524c8c12bd493cf,10,3,1,1
event_qualification_uses_actual_available_time,fixture_009_event_qualification_uses_actual_available_time,passed,r2_t02_oracle_event_qualification_uses_actual_available_time,4,sample_end_open_zone,prequalification_right_censored,,21070becf3a94f8362640191d971b46482b5b1e553c78b292a242ac89666b3ee,9,3,0,0
prequalification_right_censor,fixture_010_prequalification_right_censor,passed,r2_t02_oracle_prequalification_right_censor,4,prequalification_right_censored,prequalification_right_censored,,23074f513e257f25ad02c55ed5ea504ff8251768dc1a51c328cac096debaccac,3,1,0,0
normal_short_interval_drop,fixture_011_normal_short_interval_drop,passed,r2_t02_oracle_normal_short_interval_drop,4,normal_short_interval_drop,normal_short_interval_drop,,62d3c8c9d052854258e725ce2aad128cd481d7b1a6b4827a6295ca15a9db70b4,3,1,0,0
g0_no_bridge,fixture_012_g0_no_bridge,passed,r2_t02_oracle_g0_no_bridge,4,sample_end_open_zone,prequalification_right_censored,,d3287768a11b7a17e8872a0ca6d442482786f8b6ba974341fdfdeb82a8fe2584,9,3,0,0
g1_bridge,fixture_013_g1_bridge,passed,r2_t02_oracle_g1_bridge,4,sample_end_open_zone,sample_end_open_zone,,9718ef4c39a70a862322d7c31bdc7e1afef3c9c4d6796ddd89544893fd489e3e,7,2,2,2
g2_bridge,fixture_014_g2_bridge,passed,r2_t02_oracle_g2_bridge,4,sample_end_open_zone,gap_exceeds_g,,374353b2b3d85c66148ee874df08fca1d46b2f4bf479daafc0e7082807ba70fa,10,3,1,1
gap_exceeds_g,fixture_015_gap_exceeds_g,passed,r2_t02_oracle_gap_exceeds_g,4,gap_exceeds_g,prequalification_right_censored,,7312514abb3416bfe486dfbb5c5ab1e2e838bb2aee449c737b8250ae0760ca3e,9,3,0,0
transitive_a_b_c_merge,fixture_016_transitive_a_b_c_merge,passed,r2_t02_oracle_transitive_a_b_c_merge,4,sample_end_open_zone,sample_end_open_zone,,44d5156cbdf6cea5c2b9bd0f6e45d87825ef7ec4df327b1069ed4ca9b1f6ef4d,10,3,3,3
multiple_bridge_segments,fixture_017_multiple_bridge_segments,passed,r2_t02_oracle_multiple_bridge_segments,4,sample_end_open_zone,gap_exceeds_g,,b74d983f3b463183110fc13e961de23a778b8e998ae0b7242524c8c12bd493cf,10,3,1,1
