case_id,evidence_role,fixture_id,status,oracle_id,assertion_count,expected_reason_code,observed_reason_code,error_code,assertion_ledger_sha256,transition_count,atomic_interval_count,qualified_component_count,event_zone_count
k3_no_backfill,core_scientific_oracle,fixture_001_k3_no_backfill,passed,r2_t02_oracle_k3_no_backfill,5,sample_end_open_zone,sample_end_open_zone,,ab052d46f9177d614da76dcb6c7ec124f8847edbe83034100b2ff3a28a9ed616,12,3,3,3
unknown_resets_k,regression_only,fixture_002_unknown_resets_k,passed,r2_t02_oracle_unknown_resets_k,4,prequalification_right_censored,prequalification_right_censored,,8e785eba30f89026f859c3572b91aa6211bc5acc7982323a768e82eb6b3a9f6d,12,3,1,1
blocked_resets_k,regression_only,fixture_003_blocked_resets_k,passed,r2_t02_oracle_blocked_resets_k,4,prequalification_right_censored,prequalification_right_censored,,5eeeb3a6de040fc61947d36350ec813b69d7bd5170d0012d794479fee43e8d4b,9,3,0,0
diagnostic_required_resets_k,regression_only,fixture_004_diagnostic_required_resets_k,passed,r2_t02_oracle_diagnostic_required_resets_k,4,sample_end_open_zone,sample_end_open_zone,,28072c1cf6bf4a782fc35c0287e7d2e73de2824d91e923842c895679c8d4a282,12,3,3,3
missing_row_fail_closed,regression_only,fixture_005_missing_row_fail_closed,passed,r2_t02_oracle_missing_row_fail_closed,4,missing_expected_trading_row,missing_expected_trading_row,missing_expected_trading_row,88927113318f70ffcc8bcc97dc267ef4012059d94120e749d353776eca3c2820,1,0,0,0
d1_exact_qualification,core_scientific_oracle,fixture_006_d1_exact_qualification,passed,r2_t02_oracle_d1_exact_qualification,7,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,ebf9a80549efb6dfb473de6ac60eb43cbc065f26c9723890da2b937809394c2c,4,1,1,1
d2_exact_qualification,core_scientific_oracle,fixture_007_d2_exact_qualification,passed,r2_t02_oracle_d2_exact_qualification,7,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,7ae07c5c002cfb4978b35dacea50d47c7c09d3f7f2a4901e28e1a8891ea83c24,4,1,1,1
d3_exact_qualification,core_scientific_oracle,fixture_008_d3_exact_qualification,passed,r2_t02_oracle_d3_exact_qualification,7,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,58c214263482bf28dee9c20dbdc84936fca068314fc508cebf9e3c6f6ac7ac7d,4,1,1,1
event_qualification_uses_actual_available_time,regression_only,fixture_009_event_qualification_uses_actual_available_time,passed,r2_t02_oracle_event_qualification_uses_actual_available_time,4,normal_short_interval_drop,normal_short_interval_drop,,a05c7ff1911396bfa10438ccf720f49b429afc0b2d65b0365451d9d71510d2c8,3,1,0,0
prequalification_right_censor,core_scientific_oracle,fixture_010_prequalification_right_censor,passed,r2_t02_oracle_prequalification_right_censor,7,prequalification_right_censored,prequalification_right_censored,,74672eb6863e1c9091b28eccb45b2bdb849224f7a7e85453ef88b077922e06c9,3,1,0,0
