field_name,type,nullable,availability_class,available_time_source,allowed_at_T0,allowed_at_T1,allowed_at_T2,audit_only,forbidden_model_feature,source_artifact,derivation_rule
state_version_id,string,False,as_of_T0,R2 state version registry,True,True,True,False,False,r2_t08_r3_handoff_manifest,copied from expected row identity
event_id,string,False,as_of_T0,prior.active_event_id_as_of,True,True,True,False,False,r2_canonical_daily_state,prior active event identity; current conflict fails closed
security_id,string,False,as_of_T0,expected row identity,True,True,True,False,False,r2_canonical_daily_state,copied from expected row identity
exit_attempt_id,string,False,as_of_T0,canonical identity inputs at T0,True,True,True,False,False,R3-T01 identity contract,r3_exit_attempt_v3 full SHA-256 over the date-level causal identity fields
exit_attempt_ordinal,integer,False,as_of_T0,prior attempts sorted by T0 identity,True,True,True,False,False,R3-T01 attempt registry,1-based ordinal within state_version_id x event_id
source_component_id,string,False,as_of_T0,confirmed run start date and R3 namespace,True,True,True,False,False,r2_canonical_daily_state + r2_canonical_event_zone,r3_causal_confirmed_run_v2 full SHA-256 over causal start-date identity
source_component_start_date,date,False,as_of_T0,event-zone first_component_start_date for the first causal component; first daily row trade_date for later causal components,True,True,True,False,False,r2_canonical_daily_state + r2_canonical_event_zone,causal component start date used by r3_causal_confirmed_run_v2 identity
source_component_end_date,date,False,as_of_T0,direct prior confirmed daily row belonging to the causal component,True,True,True,False,False,r2_canonical_daily_state,last confirmed daily trade_date in the causal component immediately before the exit attempt
source_component_ordinal,integer,False,as_of_T0,all source runs observed through T0,True,True,True,False,False,r2_canonical_daily_state + r2_canonical_event_zone,1-based start-date/id order within state_version_id x event_id
component_count_as_of_exit,integer,False,as_of_T0,qualification trade dates <= T0 date,True,True,True,False,False,r2_canonical_daily_state + r2_canonical_event_zone,count distinct causal source components with qualification date <= exit_attempt_date
source_component_qualification_date,date,True,as_of_T0,event-zone first_qualification_time for first component; daily component_qualified_as_of=true trade_date for later causal run,True,True,True,False,False,r2_canonical_daily_state + r2_canonical_event_zone,"contract-timezone trade_date(first_qualification_time) for the first run, otherwise first daily true value in the causal run"
source_component_qualified,boolean,False,as_of_T0,event-zone first_qualification_time for the first causal component; daily component_qualified_as_of for later causal components,True,True,True,False,False,r2_canonical_daily_state + r2_canonical_event_zone,true iff source_component_qualification_date is non-null
unqualified_reentry,boolean,False,as_of_T0,causal component qualification status through exit_attempt_date,True,True,True,False,False,r2_canonical_daily_state + r2_canonical_event_zone,not source_component_qualified
last_observed_zone_revision_before_exit,integer,True,post_event_audit,prior membership rows with trade_date < exit_attempt_date,False,False,False,True,True,r2_canonical_event_membership,last observed zone_revision before the causal exit date
