metric_id,layer,entity_level,numerator_or_aggregation,denominator,deduplication_key,included_rows,excluded_rows,censoring_policy,open_event_policy,denominator_scope,expected_parameter_response,hard_gate_usage,null_or_zero_denominator_policy,availability_basis
eligible_days,atomic_confirmed_state_baseline,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
confirmed_state_days,atomic_confirmed_state_baseline,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
confirmed_state_coverage,atomic_confirmed_state_baseline,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_confirmed_interval_count,atomic_confirmed_state_baseline,atomic_confirmed_interval,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_duration_mean,atomic_confirmed_state_baseline,atomic_confirmed_interval,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_duration_median,atomic_confirmed_state_baseline,atomic_confirmed_interval,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_duration_q90,atomic_confirmed_state_baseline,atomic_confirmed_interval,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_duration_q95,atomic_confirmed_state_baseline,atomic_confirmed_interval,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_singleton_count,atomic_confirmed_state_baseline,atomic_confirmed_interval,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_fragment_rate,atomic_confirmed_state_baseline,atomic_confirmed_interval,explicit numerator divided by the corresponding eligible entity population,eligible atomic_confirmed_interval population in the same route/cell/scope,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
