metric_id,entity_level,numerator,denominator,deduplication_key,included_rows,excluded_rows,open_event_policy,denominator_scope,expected_parameter_response,hard_gate_usage,null_or_zero_denominator_policy
confirmed_event_coverage,route_cell,unique qualified confirmed days,eligible days,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
zone_span_coverage,route_cell,unique qualified confirmed plus legal bridge days,eligible days,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
upstream_confirmed_interval_count,route_cell,upstream_confirmed_interval_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
qualified_interval_count,route_cell,qualified_interval_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
unqualified_interval_count,route_cell,unqualified_interval_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
qualified_event_count,route_cell,qualified_event_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
qualified_confirmed_day_count,route_cell,qualified_confirmed_day_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
unique_securities_with_qualified_event,route_cell,unique_securities_with_qualified_event numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
upstream_singleton_interval_rate,route_cell,upstream_singleton_interval_rate numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
short_interval_drop_rate,route_cell,short_interval_drop_rate numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
post_merge_short_zone_rate,route_cell,post_merge_short_zone_rate numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
bridged_gap_count,route_cell,bridged_gap_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
bridged_day_count,route_cell,bridged_day_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
bridged_day_ratio,route_cell,bridged_day_ratio numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
merge_ratio,route_cell,qualified intervals minus events,qualified intervals,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
duration_mean,route_cell,duration_mean numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
duration_median,route_cell,duration_median numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
duration_q90,route_cell,duration_q90 numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
duration_q95,route_cell,duration_q95 numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
confirmed_duration_mean,route_cell,confirmed_duration_mean numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
confirmed_duration_median,route_cell,confirmed_duration_median numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
confirmed_duration_q90,route_cell,confirmed_duration_q90 numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
confirmed_duration_q95,route_cell,confirmed_duration_q95 numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
open_event_count,route_cell,open_event_count numerator,metric-defined population,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
open_event_ratio,route_cell,open events,qualified events,"route_id,security_id,trade_date",eligible rows defined by metric,"unknown,blocked,ineligible",included except closed-duration quantiles,own_eligible and common_W120_W250,contract_defined,registry_defined,null_with_explicit_reason
