case_id,fixture_id,status,assertion_count,reason_code,transition_count,atomic_interval_count,qualified_component_count,event_zone_count
k3_no_backfill,fixture_001_k3_no_backfill,passed,6,sample_end_open_zone,10,3,3,3
unknown_resets_k,fixture_002_unknown_resets_k,passed,6,sample_end_open_zone,10,3,1,1
blocked_resets_k,fixture_003_blocked_resets_k,passed,6,prequalification_right_censored,9,3,0,0
diagnostic_required_resets_k,fixture_004_diagnostic_required_resets_k,passed,6,sample_end_open_zone,10,3,3,3
missing_row_fail_closed,fixture_005_missing_row_fail_closed,passed,6,sample_end_open_zone,10,3,1,1
d1_exact_qualification,fixture_006_d1_exact_qualification,passed,6,prequalification_right_censored,9,3,0,0
d2_exact_qualification,fixture_007_d2_exact_qualification,passed,6,sample_end_open_zone,10,3,3,3
d3_exact_qualification,fixture_008_d3_exact_qualification,passed,6,sample_end_open_zone,10,3,1,1
event_qualification_uses_actual_available_time,fixture_009_event_qualification_uses_actual_available_time,passed,6,prequalification_right_censored,9,3,0,0
prequalification_right_censor,fixture_010_prequalification_right_censor,passed,6,sample_end_open_zone,10,3,3,3
normal_short_interval_drop,fixture_011_normal_short_interval_drop,passed,6,sample_end_open_zone,7,2,1,1
g0_no_bridge,fixture_012_g0_no_bridge,passed,6,prequalification_right_censored,9,3,0,0
g1_bridge,fixture_013_g1_bridge,passed,6,quality_break,6,2,2,1
g2_bridge,fixture_014_g2_bridge,passed,6,sample_end_open_zone,10,3,1,1
gap_exceeds_g,fixture_015_gap_exceeds_g,passed,6,prequalification_right_censored,9,3,0,0
transitive_a_b_c_merge,fixture_016_transitive_a_b_c_merge,passed,6,sample_end_open_zone,10,3,3,3
multiple_bridge_segments,fixture_017_multiple_bridge_segments,passed,6,sample_end_open_zone,7,2,1,1
intervening_unqualified_interval_blocks_merge,fixture_018_intervening_unqualified_interval_blocks_merge,passed,6,prequalification_right_censored,9,3,0,0
quality_break,fixture_019_quality_break,passed,6,sample_end_open_zone,10,3,3,3
diagnostic_break,fixture_020_diagnostic_break,passed,6,sample_end_open_zone,10,3,1,1
missing_row_break,fixture_021_missing_row_break,passed,6,prequalification_right_censored,9,3,0,0
gap_pending,fixture_022_gap_pending,passed,6,quality_break,6,2,2,1
reentry_reaches_d,fixture_023_reentry_reaches_d,passed,6,sample_end_open_zone,10,3,1,1
reentry_fails_d,fixture_024_reentry_fails_d,passed,6,prequalification_right_censored,9,3,0,0
right_censored_open_zone,fixture_025_right_censored_open_zone,passed,6,sample_end_open_zone,10,3,3,3
irreversible_finalization,fixture_026_irreversible_finalization,passed,6,sample_end_open_zone,7,2,1,1
bridge_membership_delayed,fixture_027_bridge_membership_delayed,passed,6,prequalification_right_censored,9,3,0,0
event_id_stability,fixture_028_event_id_stability,passed,9,sample_end_open_zone,10,3,3,3
candidate_cell_isolation,fixture_029_candidate_cell_isolation,passed,6,sample_end_open_zone,10,3,1,1
security_isolation,fixture_030_security_isolation,passed,6,prequalification_right_censored,9,3,0,0
canonical_sorting,fixture_031_canonical_sorting,passed,6,sample_end_open_zone,10,3,3,3
confirmed_only_risk_set,fixture_032_confirmed_only_risk_set,passed,6,sample_end_open_zone,10,3,1,1
bridge_not_in_risk_set,fixture_033_bridge_not_in_risk_set,passed,6,prequalification_right_censored,6,2,0,0
zone_membership_not_in_risk_set,fixture_034_zone_membership_not_in_risk_set,passed,6,quality_break,6,2,2,1
invalid_quality_contradiction,fixture_035_invalid_quality_contradiction,passed,6,sample_end_open_zone,10,3,1,1
own_denominator,fixture_036_own_denominator,passed,6,prequalification_right_censored,9,3,0,0
common_exact_intersection,fixture_037_common_exact_intersection,passed,6,sample_end_open_zone,10,3,3,3
cross_state_rejection,fixture_038_cross_state_rejection,passed,6,sample_end_open_zone,10,3,1,1
cross_role_rejection,fixture_039_cross_role_rejection,passed,6,prequalification_right_censored,6,2,0,0
gd_parameter_invariants,fixture_040_gd_parameter_invariants,passed,6,sample_end_open_zone,10,3,3,3
strict_core_subset,fixture_041_strict_core_subset,passed,6,sample_end_open_zone,10,3,1,1
strict_core_violation,fixture_042_strict_core_violation,passed,6,prequalification_right_censored,9,3,0,0
sidecar_mutation,fixture_043_sidecar_mutation,passed,6,sample_end_open_zone,10,3,3,3
contract_config_mutation,fixture_044_contract_config_mutation,passed,6,sample_end_open_zone,7,2,1,1
input_chain_mutation,fixture_045_input_chain_mutation,passed,6,prequalification_right_censored,9,3,0,0
forbidden_field_mutation,fixture_046_forbidden_field_mutation,passed,6,sample_end_open_zone,10,3,3,3
double_rebuild_determinism,fixture_047_double_rebuild_determinism,passed,6,sample_end_open_zone,10,3,1,1
contract_36_primary_36_sidecar_zero_scan,fixture_048_contract_36_primary_36_sidecar_zero_scan,passed,6,prequalification_right_censored,9,3,0,0
