metric_id,entity_level,exact_numerator_or_aggregation,exact_denominator,deduplication_key,included_rows,excluded_rows,open_interval_policy,right_censor_policy,quality_break_policy,denominator_scope,parameter_response,hard_gate_usage,null_policy,availability_basis
eligible_days,daily_row,count eligible=true rows,own or common exact security_id trade_date keys,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
confirmed_state_days,daily_row,count rows with confirmed_state=true,eligible valid daily rows,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
confirmed_state_coverage,daily_row,confirmed_state_days,eligible_days,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_confirmed_interval_count,atomic_interval,count maximal confirmed intervals,route security,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_duration_mean,atomic_interval,mean confirmed_day_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_duration_median,atomic_interval,median confirmed_day_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_duration_q90,atomic_interval,q90 confirmed_day_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_duration_q95,atomic_interval,q95 confirmed_day_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_singleton_count,atomic_interval,count intervals with confirmed_day_count=1,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
atomic_fragment_rate,atomic_interval,atomic_singleton_count,atomic_confirmed_interval_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
